datetime,windspeed,poa_irradiance,solar_energy_production,wind_energy_production,total_energy_production,spotprice,energy_demand
2025-08-20 00:00:00,17.0,0.0,0.0,0.8828983961444078,0.8828983961444078,8.15,9.51677992108482
2025-08-20 01:00:00,14.8,0.0,0.0,0.5885628252033641,0.5885628252033641,7.29,9.306473551653985
2025-08-20 02:00:00,14.3,0.0,0.0,0.5411597597078737,0.5411597597078737,6.86,9.165081458513823
2025-08-20 03:00:00,16.0,0.0,0.0,0.76620246926772,0.76620246926772,6.32,9.138412380783322
2025-08-20 04:00:00,11.7,0.0,0.0,0.3064555308648922,0.3064555308648922,6.3,9.335786546573289
2025-08-20 05:00:00,8.9,0.0,0.0,0.0,0.0,6.97,10.093843585770687
2025-08-20 06:00:00,10.3,0.0,0.0,0.21834959492431855,0.21834959492431855,7.91,11.50615517627478
2025-08-20 07:00:00,8.8,3.552544032542417,0.12606153064547637,0.0,0.12606153064547637,8.35,12.508142314369271
2025-08-20 08:00:00,9.8,26.48528137423857,0.9398265240426056,0.19284935013355112,1.1326758741761567,8.24,13.124462401662752
2025-08-20 09:00:00,11.5,50.32203461105328,1.7856703956809505,0.31897944338680506,2.1046498390677555,7.77,13.37080651190614
2025-08-20 10:00:00,15.8,162.4430590953299,5.764269347461313,0.8665434733235592,6.630812820784872,7.42,13.58663062155708
2025-08-20 11:00:00,16.8,362.4613076324933,12.861889063543208,1.0661404537027217,13.92802951724593,6.95,13.67962753485008
2025-08-20 12:00:00,16.9,433.14837508348444,15.37020981568172,1.0599642858367602,16.43017410151848,6.46,13.683420981251402
2025-08-20 13:00:00,16.7,749.2873819630564,26.588358482922423,1.0342723648787568,27.62263084780118,5.83,13.506853294208076
2025-08-20 14:00:00,17.1,927.4741883468598,32.911292512116106,1.0958682272040168,34.00716073932012,5.37,13.176708504371861
2025-08-20 15:00:00,17.6,804.2317277898949,28.538050948884262,1.2029271807258268,29.740978129610088,5.3,13.05347897278954
2025-08-20 16:00:00,18.4,540.6526007122995,19.18498230252021,1.2365407030356619,20.421523005555873,5.37,12.902603263646075
2025-08-20 17:00:00,21.6,482.70439148100326,17.12869816164959,2.028368177373031,19.157066339022624,5.35,13.080205526980668
2025-08-20 18:00:00,23.0,149.96953916309164,5.321648228401043,2.2254047104324153,7.547052938833458,6.05,13.344769675242524
2025-08-20 19:00:00,23.8,89.78603142042653,3.1860448309043337,2.217111367080499,5.403156197984833,7.03,13.258612460764027
2025-08-20 20:00:00,21.2,31.036866591477978,1.1013388921068772,1.4517116873253724,2.5530505794322496,8.37,12.992324018683389
2025-08-20 21:00:00,15.8,6.356881384442132,0.22557305134399966,0.6771573008850467,0.9027303522290463,9.71,12.360082951796484
2025-08-20 22:00:00,20.2,0.0,0.0,1.7107591575588919,1.7107591575588919,9.29,11.46626651260028
2025-08-20 23:00:00,20.9,0.0,0.0,1.9164290649144669,1.9164290649144669,8.0,10.579174819297325
2025-08-21 00:00:00,20.5,0.0,0.0,1.8747652690275949,1.8747652690275949,6.47,10.087118839877435
2025-08-21 01:00:00,18.7,0.0,0.0,1.4181818113063602,1.4181818113063602,5.8,9.797609907703858
2025-08-21 02:00:00,16.6,0.0,0.0,0.9683456118841944,0.9683456118841944,5.31,9.532011183150733
2025-08-21 03:00:00,16.6,0.0,0.0,0.9266442129032296,0.9266442129032296,4.51,9.633801994919525
2025-08-21 04:00:00,17.3,0.0,0.0,1.0262806106053481,1.0262806106053481,4.08,9.796747760794467
2025-08-21 05:00:00,18.4,0.0,0.0,1.195277746548963,1.195277746548963,4.54,10.458646681364431
2025-08-21 06:00:00,18.4,0.0,0.0,1.1855692569905263,1.1855692569905263,5.17,11.88860354528073
2025-08-21 07:00:00,19.1,1.8529988139764901,0.06575340506249999,1.336401109687231,1.402154514749731,5.61,12.932548499632263
2025-08-21 08:00:00,20.9,76.14346631316721,2.7019403064852847,1.7491407523763187,4.451081058861604,5.64,13.594619849584104
2025-08-21 09:00:00,24.1,243.7726514991998,8.650238616607067,2.715041348409717,11.365279965016784,5.47,13.787108516220854
2025-08-21 10:00:00,24.8,450.5736230748146,15.988542315868079,3.0262573400523247,19.014799655920402,5.59,14.170476508596822
2025-08-21 11:00:00,23.8,607.55998376025,21.559181479573517,2.791268288725162,24.35044976829868,5.49,14.039085319605599
2025-08-21 12:00:00,22.7,650.1995772397402,23.072241520740288,2.4517726423462327,25.52401416308652,5.15,13.749978722656405
2025-08-21 13:00:00,23.4,601.9070283668896,21.35858714406921,2.700867439980255,24.059454584049465,4.83,13.626174426467824
2025-08-21 14:00:00,26.6,782.9242516155978,27.781958121851346,4.076537038235644,31.85849516008699,4.56,13.145441309791272
2025-08-21 15:00:00,31.3,800.3703770714194,28.401031455960013,6.517821784367001,34.91885324032701,4.7,12.845241755941244
