datetime,spotprice_EUR_per_MWh,EE_total_MWh,demand_MWh,ee_to_load_MWh,ee_to_batt_MWh,ee_export_MWh,grid_to_load_MWh,grid_to_batt_MWh,batt_discharge_MWh,SOC_MWh,charge_mode_binary
2025-05-01 00:00:00,97.50999999999999,0.0,9.325286495511659,0.0,0.0,0.0,3.3252864955116586,0.0,6.0,0.0,0
2025-05-01 01:00:00,91.78,0.0,8.906396742127535,0.0,0.0,0.0,8.906396742127535,0.0,0.0,0.0,0
2025-05-01 02:00:00,90.46,0.0,8.604249544539014,0.0,0.0,0.0,8.604249544539014,0.0,0.0,0.0,0
2025-05-01 03:00:00,90.63000000000001,0.0,8.411360678673722,0.0,0.0,0.0,8.411360678673722,0.0,0.0,0.0,0
2025-05-01 04:00:00,90.5,0.0,8.327843541866086,0.0,0.0,0.0,8.327843541866086,0.0,0.0,0.0,0
2025-05-01 05:00:00,84.16,0.0,8.20991031405897,0.0,0.0,0.0,8.20991031405897,0.0,0.0,0.0,0
2025-05-01 06:00:00,83.94,0.0,8.20786916203923,0.0,0.0,0.0,8.20786916203923,0.0,0.0,0.0,0
2025-05-01 07:00:00,78.04,0.4485584953186163,8.607311272568623,0.4485584953186163,0.0,0.0,8.158752777250006,0.0,0.0,0.0,0
2025-05-01 08:00:00,62.1,1.234577421784934,9.299772095264927,1.234577421784934,0.0,0.0,8.065194673479994,0.0,0.0,0.0,0
2025-05-01 09:00:00,0.0,2.138717882296283,9.71270848859148,2.138717882296283,0.0,0.0,7.5739906062951965,10.0,0.0,10.0,1
2025-05-01 10:00:00,-3.0,22.300846115978096,9.692807256399028,9.692807256399028,2.0,10.608038859579068,0.0,0.0,0.0,12.0,1
2025-05-01 11:00:00,-40.099999999999994,23.71030080982832,9.576688385942791,9.576688385942791,0.0,14.133612423885527,0.0,0.0,0.0,12.0,0
2025-05-01 12:00:00,-85.00999999999999,33.91388740659657,9.163638595281808,9.163638595281808,0.0,24.750248811314762,0.0,0.0,0.0,12.0,0
2025-05-01 13:00:00,-129.99,27.78199588534352,8.85922345100469,8.85922345100469,0.0,18.92277243433883,0.0,0.0,0.0,12.0,0
2025-05-01 14:00:00,-118.11,24.899143618063572,8.453374391080006,8.453374391080006,0.0,16.445769226983565,0.0,0.0,0.0,12.0,0
