Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2024 00:00;01.01.2024 01:00;40.170,25;42.193,50;2.023,25;4.904,00
01.01.2024 01:00;01.01.2024 02:00;38.818,25;41.342,25;2.524,00;3.976,50
01.01.2024 02:00;01.01.2024 03:00;37.847,75;40.899,25;3.051,50;3.082,75
01.01.2024 03:00;01.01.2024 04:00;37.123,25;40.216,25;3.093,00;3.408,25
01.01.2024 04:00;01.01.2024 05:00;36.753,75;40.034,00;3.280,25;3.341,50
01.01.2024 05:00;01.01.2024 06:00;37.051,25;40.512,75;3.461,50;3.326,50
01.01.2024 06:00;01.01.2024 07:00;36.725,50;40.383,75;3.658,25;3.353,75
01.01.2024 07:00;01.01.2024 08:00;37.321,00;40.162,00;2.841,00;3.747,75
01.01.2024 08:00;01.01.2024 09:00;37.984,25;40.758,00;2.773,75;3.356,50
01.01.2024 09:00;01.01.2024 10:00;39.952,00;43.642,25;3.690,25;3.062,75
01.01.2024 10:00;01.01.2024 11:00;42.309,25;46.119,75;3.810,50;2.181,50
01.01.2024 11:00;01.01.2024 12:00;44.829,25;48.232,00;3.402,75;2.853,25
01.01.2024 12:00;01.01.2024 13:00;45.824,00;48.755,00;2.931,00;4.349,75
01.01.2024 13:00;01.01.2024 14:00;45.251,75;48.032,75;2.781,00;5.836,50
01.01.2024 14:00;01.01.2024 15:00;44.904,50;46.003,50;1.099,00;8.892,50
01.01.2024 15:00;01.01.2024 16:00;44.952,25;45.455,75;503,50;12.283,00
01.01.2024 16:00;01.01.2024 17:00;46.881,25;47.007,25;126,00;15.187,50
01.01.2024 17:00;01.01.2024 18:00;50.120,50;50.132,00;11,50;17.679,00
01.01.2024 18:00;01.01.2024 19:00;50.199,50;50.208,50;9,00;18.671,50
01.01.2024 19:00;01.01.2024 20:00;49.118,25;49.156,25;38,00;18.121,25
01.01.2024 20:00;01.01.2024 21:00;47.071,75;47.162,00;90,25;16.927,50
01.01.2024 21:00;01.01.2024 22:00;45.149,00;45.321,50;172,50;16.124,25
01.01.2024 22:00;01.01.2024 23:00;43.664,25;44.521,25;857,00;16.140,00
01.01.2024 23:00;02.01.2024 00:00;41.057,25;42.759,00;1.701,75;15.462,75
02.01.2024 00:00;02.01.2024 01:00;38.390,00;40.043,00;1.653,00;13.921,75
02.01.2024 01:00;02.01.2024 02:00;37.078,00;39.408,50;2.330,50;13.394,50
02.01.2024 02:00;02.01.2024 03:00;37.041,75;40.119,75;3.078,00;13.525,25
02.01.2024 03:00;02.01.2024 04:00;37.358,25;41.095,25;3.737,00;12.332,75
02.01.2024 04:00;02.01.2024 05:00;39.412,25;43.014,25;3.602,00;11.956,50
02.01.2024 05:00;02.01.2024 06:00;42.454,00;45.248,00;2.794,00;12.178,00
02.01.2024 06:00;02.01.2024 07:00;47.726,00;49.481,25;1.755,25;14.380,75
02.01.2024 07:00;02.01.2024 08:00;52.564,75;53.300,75;736,00;17.516,50
02.01.2024 08:00;02.01.2024 09:00;56.047,50;56.140,75;93,25;19.948,50
02.01.2024 09:00;02.01.2024 10:00;57.931,50;57.935,50;4,00;21.559,25
02.01.2024 10:00;02.01.2024 11:00;59.509,50;59.521,75;12,25;22.449,75
02.01.2024 11:00;02.01.2024 12:00;60.929,50;61.010,50;81,00;25.408,50
02.01.2024 12:00;02.01.2024 13:00;61.269,75;61.271,75;2,00;26.918,00
02.01.2024 13:00;02.01.2024 14:00;60.607,00;60.609,25;2,25;27.490,75
02.01.2024 14:00;02.01.2024 15:00;59.705,00;59.707,25;2,25;28.268,00
02.01.2024 15:00;02.01.2024 16:00;60.067,00;60.067,50;0,50;29.304,50
02.01.2024 16:00;02.01.2024 17:00;61.427,00;61.428,00;1,00;28.931,50
02.01.2024 17:00;02.01.2024 18:00;63.376,75;63.379,25;2,50;27.601,00
02.01.2024 18:00;02.01.2024 19:00;63.072,00;63.127,50;55,50;24.519,75
02.01.2024 19:00;02.01.2024 20:00;61.214,75;61.502,50;287,75;20.176,75
02.01.2024 20:00;02.01.2024 21:00;58.093,50;58.960,50;867,00;15.613,25
02.01.2024 21:00;02.01.2024 22:00;54.777,75;56.195,00;1.417,25;11.166,50
02.01.2024 22:00;02.01.2024 23:00;52.006,25;54.024,75;2.018,50;8.774,75
02.01.2024 23:00;03.01.2024 00:00;49.067,50;51.728,25;2.660,75;5.739,75
03.01.2024 00:00;03.01.2024 01:00;46.137,50;49.821,50;3.684,00;5.469,00
03.01.2024 01:00;03.01.2024 02:00;44.335,25;48.719,00;4.383,75;4.225,25
03.01.2024 02:00;03.01.2024 03:00;43.294,75;47.742,25;4.447,50;2.874,00
03.01.2024 03:00;03.01.2024 04:00;43.656,25;48.305,75;4.649,50;3.290,00
03.01.2024 04:00;03.01.2024 05:00;45.081,75;49.750,75;4.669,00;3.881,50
03.01.2024 05:00;03.01.2024 06:00;47.957,50;52.540,50;4.583,00;5.882,50
03.01.2024 06:00;03.01.2024 07:00;53.736,25;57.184,00;3.447,75;6.764,75
03.01.2024 07:00;03.01.2024 08:00;58.238,50;59.264,00;1.025,50;10.119,25
03.01.2024 08:00;03.01.2024 09:00;60.985,00;61.173,00;188,00;13.153,00
03.01.2024 09:00;03.01.2024 10:00;62.279,00;62.329,75;50,75;13.125,00
03.01.2024 10:00;03.01.2024 11:00;63.084,75;63.687,75;603,00;11.025,50
03.01.2024 11:00;03.01.2024 12:00;64.448,00;65.449,50;1.001,50;10.784,75
03.01.2024 12:00;03.01.2024 13:00;64.460,75;65.233,50;772,75;10.976,75
03.01.2024 13:00;03.01.2024 14:00;63.089,25;63.912,00;822,75;11.119,75
03.01.2024 14:00;03.01.2024 15:00;61.937,75;62.655,00;717,25;13.096,00
03.01.2024 15:00;03.01.2024 16:00;61.490,25;62.075,50;585,25;17.215,00
03.01.2024 16:00;03.01.2024 17:00;62.105,50;62.170,25;64,75;21.250,75
03.01.2024 17:00;03.01.2024 18:00;64.559,00;64.587,75;28,75;25.825,00
03.01.2024 18:00;03.01.2024 19:00;64.586,50;64.591,00;4,50;27.322,00
03.01.2024 19:00;03.01.2024 20:00;62.472,25;62.483,75;11,50;26.519,50
03.01.2024 20:00;03.01.2024 21:00;58.666,50;58.766,25;99,75;23.607,25
03.01.2024 21:00;03.01.2024 22:00;55.714,00;55.957,50;243,50;20.921,25
03.01.2024 22:00;03.01.2024 23:00;52.734,75;53.202,75;468,00;19.015,25
03.01.2024 23:00;04.01.2024 00:00;48.999,50;49.830,75;831,25;14.818,75
04.01.2024 00:00;04.01.2024 01:00;46.366,00;49.173,25;2.807,25;11.643,50
04.01.2024 01:00;04.01.2024 02:00;45.278,25;49.568,25;4.290,00;9.810,25
04.01.2024 02:00;04.01.2024 03:00;44.642,50;49.598,50;4.956,00;8.093,50
04.01.2024 03:00;04.01.2024 04:00;45.027,25;50.014,00;4.986,75;8.010,75
04.01.2024 04:00;04.01.2024 05:00;46.279,75;50.838,00;4.558,25;8.796,00
04.01.2024 05:00;04.01.2024 06:00;48.751,50;52.370,00;3.618,50;10.824,75
04.01.2024 06:00;04.01.2024 07:00;53.684,00;55.115,25;1.431,25;16.465,00
04.01.2024 07:00;04.01.2024 08:00;59.303,50;59.583,25;279,75;23.302,25
04.01.2024 08:00;04.01.2024 09:00;62.947,25;63.099,00;151,75;28.355,25
04.01.2024 09:00;04.01.2024 10:00;64.255,00;64.448,25;193,25;29.909,50
04.01.2024 10:00;04.01.2024 11:00;65.365,00;66.011,75;646,75;30.417,75
04.01.2024 11:00;04.01.2024 12:00;65.554,75;65.585,75;31,00;31.090,75
04.01.2024 12:00;04.01.2024 13:00;65.594,50;65.604,00;9,50;33.004,50
04.01.2024 13:00;04.01.2024 14:00;64.722,75;64.911,25;188,50;35.264,75
04.01.2024 14:00;04.01.2024 15:00;63.715,00;63.894,00;179,00;38.642,25
04.01.2024 15:00;04.01.2024 16:00;63.035,00;63.134,50;99,50;42.967,75
04.01.2024 16:00;04.01.2024 17:00;63.827,50;63.907,75;80,25;47.997,75
04.01.2024 17:00;04.01.2024 18:00;65.704,50;65.709,50;5,00;52.780,50
04.01.2024 18:00;04.01.2024 19:00;64.839,75;64.840,25;0,50;54.383,75
04.01.2024 19:00;04.01.2024 20:00;63.362,75;63.477,25;114,50;54.228,25
04.01.2024 20:00;04.01.2024 21:00;59.665,50;59.735,00;69,50;50.720,50
04.01.2024 21:00;04.01.2024 22:00;56.429,75;56.693,25;263,50;47.626,00
04.01.2024 22:00;04.01.2024 23:00;53.468,75;53.643,75;175,00;43.654,00
04.01.2024 23:00;05.01.2024 00:00;50.083,00;50.490,50;407,50;39.608,25
05.01.2024 00:00;05.01.2024 01:00;46.882,75;47.374,50;491,75;34.882,50
05.01.2024 01:00;05.01.2024 02:00;45.242,00;46.433,50;1.191,50;31.310,50
05.01.2024 02:00;05.01.2024 03:00;44.115,25;46.687,50;2.572,25;28.163,50
05.01.2024 03:00;05.01.2024 04:00;44.397,00;47.934,50;3.537,50;26.106,50
05.01.2024 04:00;05.01.2024 05:00;45.672,25;49.531,75;3.859,50;25.940,25
05.01.2024 05:00;05.01.2024 06:00;48.107,75;50.393,00;2.285,25;26.652,50
05.01.2024 06:00;05.01.2024 07:00;52.828,00;53.667,25;839,25;29.467,50
05.01.2024 07:00;05.01.2024 08:00;58.204,00;58.384,25;180,25;33.138,50
05.01.2024 08:00;05.01.2024 09:00;61.650,50;61.786,75;136,25;34.808,25
05.01.2024 09:00;05.01.2024 10:00;63.237,00;63.368,00;131,00;34.070,25
05.01.2024 10:00;05.01.2024 11:00;64.022,00;64.154,75;132,75;32.020,00
05.01.2024 11:00;05.01.2024 12:00;64.775,00;65.017,50;242,50;30.832,75
05.01.2024 12:00;05.01.2024 13:00;64.509,25;64.525,50;16,25;30.747,25
05.01.2024 13:00;05.01.2024 14:00;63.212,00;63.222,25;10,25;31.091,25
05.01.2024 14:00;05.01.2024 15:00;62.148,75;62.165,25;16,50;32.197,00
05.01.2024 15:00;05.01.2024 16:00;61.704,75;61.775,50;70,75;34.492,75
05.01.2024 16:00;05.01.2024 17:00;62.787,25;62.795,00;7,75;37.111,25
05.01.2024 17:00;05.01.2024 18:00;65.094,75;65.102,75;8,00;39.167,75
05.01.2024 18:00;05.01.2024 19:00;64.997,50;65.008,25;10,75;38.878,25
05.01.2024 19:00;05.01.2024 20:00;63.064,50;63.107,75;43,25;36.899,75
05.01.2024 20:00;05.01.2024 21:00;59.468,25;59.697,00;228,75;34.152,50
05.01.2024 21:00;05.01.2024 22:00;56.368,25;56.633,00;264,75;32.045,50
05.01.2024 22:00;05.01.2024 23:00;53.853,50;53.992,00;138,50;31.150,50
05.01.2024 23:00;06.01.2024 00:00;50.416,00;50.832,50;416,50;29.367,00
06.01.2024 00:00;06.01.2024 01:00;47.558,00;48.043,75;485,75;27.978,25
06.01.2024 01:00;06.01.2024 02:00;45.836,00;46.835,00;999,00;27.643,50
06.01.2024 02:00;06.01.2024 03:00;44.859,50;46.765,25;1.905,75;27.572,50
06.01.2024 03:00;06.01.2024 04:00;44.223,50;46.296,50;2.073,00;27.626,50
06.01.2024 04:00;06.01.2024 05:00;44.314,00;46.536,50;2.222,50;28.021,25
06.01.2024 05:00;06.01.2024 06:00;44.637,50;46.764,50;2.127,00;28.772,00
06.01.2024 06:00;06.01.2024 07:00;45.244,75;47.061,50;1.816,75;29.329,00
06.01.2024 07:00;06.01.2024 08:00;46.848,25;47.444,00;595,75;31.044,00
06.01.2024 08:00;06.01.2024 09:00;50.410,50;50.681,00;270,50;34.385,75
06.01.2024 09:00;06.01.2024 10:00;53.938,00;54.307,25;369,25;36.841,25
06.01.2024 10:00;06.01.2024 11:00;55.906,75;56.059,75;153,00;37.964,00
06.01.2024 11:00;06.01.2024 12:00;57.656,75;57.719,25;62,50;39.268,00
06.01.2024 12:00;06.01.2024 13:00;58.010,50;58.094,00;83,50;39.429,75
06.01.2024 13:00;06.01.2024 14:00;56.947,75;56.986,50;38,75;38.980,50
06.01.2024 14:00;06.01.2024 15:00;56.351,00;56.491,00;140,00;39.212,75
06.01.2024 15:00;06.01.2024 16:00;56.437,25;56.531,75;94,50;40.042,00
06.01.2024 16:00;06.01.2024 17:00;57.204,75;57.358,25;153,50;41.217,00
06.01.2024 17:00;06.01.2024 18:00;59.214,25;59.278,50;64,25;42.919,00
06.01.2024 18:00;06.01.2024 19:00;59.277,25;59.287,75;10,50;42.910,00
06.01.2024 19:00;06.01.2024 20:00;57.654,75;57.675,25;20,50;41.289,00
06.01.2024 20:00;06.01.2024 21:00;54.549,50;54.738,75;189,25;38.055,25
06.01.2024 21:00;06.01.2024 22:00;52.155,25;52.368,50;213,25;35.762,50
06.01.2024 22:00;06.01.2024 23:00;50.914,50;51.195,25;280,75;34.787,75
06.01.2024 23:00;07.01.2024 00:00;48.121,75;48.666,75;545,00;32.026,50
07.01.2024 00:00;07.01.2024 01:00;45.382,75;46.403,75;1.021,00;29.539,00
07.01.2024 01:00;07.01.2024 02:00;43.746,25;45.324,75;1.578,50;27.783,00
07.01.2024 02:00;07.01.2024 03:00;43.048,75;45.910,75;2.862,00;26.962,25
07.01.2024 03:00;07.01.2024 04:00;42.566,50;45.687,75;3.121,25;26.504,25
07.01.2024 04:00;07.01.2024 05:00;42.672,50;46.432,75;3.760,25;26.413,00
07.01.2024 05:00;07.01.2024 06:00;42.592,75;46.326,00;3.733,25;26.200,75
07.01.2024 06:00;07.01.2024 07:00;42.738,25;46.144,50;3.406,25;25.679,75
07.01.2024 07:00;07.01.2024 08:00;44.372,50;47.122,25;2.749,75;27.339,25
07.01.2024 08:00;07.01.2024 09:00;46.910,75;47.856,50;945,75;30.229,75
07.01.2024 09:00;07.01.2024 10:00;50.727,25;50.796,50;69,25;33.700,50
07.01.2024 10:00;07.01.2024 11:00;53.437,25;53.451,00;13,75;35.895,25
07.01.2024 11:00;07.01.2024 12:00;56.026,50;56.038,25;11,75;37.307,00
07.01.2024 12:00;07.01.2024 13:00;56.856,50;56.920,00;63,50;37.426,00
07.01.2024 13:00;07.01.2024 14:00;55.751,25;55.822,50;71,25;36.371,25
07.01.2024 14:00;07.01.2024 15:00;54.913,00;55.055,75;142,75;36.112,75
07.01.2024 15:00;07.01.2024 16:00;54.643,50;54.673,75;30,25;36.952,25
07.01.2024 16:00;07.01.2024 17:00;56.329,00;56.352,50;23,50;38.467,50
07.01.2024 17:00;07.01.2024 18:00;59.864,25;59.957,50;93,25;40.708,25
07.01.2024 18:00;07.01.2024 19:00;60.473,25;60.734,75;261,50;39.580,75
07.01.2024 19:00;07.01.2024 20:00;59.068,25;59.675,25;607,00;36.815,75
07.01.2024 20:00;07.01.2024 21:00;56.368,75;56.727,00;358,25;34.572,25
07.01.2024 21:00;07.01.2024 22:00;54.746,50;54.832,75;86,25;34.005,00
07.01.2024 22:00;07.01.2024 23:00;54.224,50;54.568,25;343,75;33.662,00
07.01.2024 23:00;08.01.2024 00:00;51.706,75;53.761,50;2.054,75;30.791,50
08.01.2024 00:00;08.01.2024 01:00;50.045,00;53.736,25;3.691,25;29.050,75
08.01.2024 01:00;08.01.2024 02:00;48.530,75;52.394,00;3.863,25;26.920,75
08.01.2024 02:00;08.01.2024 03:00;48.045,00;52.115,50;4.070,50;25.610,50
08.01.2024 03:00;08.01.2024 04:00;48.212,25;52.623,00;4.410,75;25.360,25
08.01.2024 04:00;08.01.2024 05:00;49.203,00;52.869,00;3.666,00;26.949,25
08.01.2024 05:00;08.01.2024 06:00;52.497,75;55.400,25;2.902,50;30.678,25
08.01.2024 06:00;08.01.2024 07:00;60.305,25;61.516,75;1.211,50;38.274,50
08.01.2024 07:00;08.01.2024 08:00;66.176,00;66.734,25;558,25;44.178,00
08.01.2024 08:00;08.01.2024 09:00;69.647,50;69.780,00;132,50;47.049,75
08.01.2024 09:00;08.01.2024 10:00;70.157,50;70.164,50;7,00;45.943,25
08.01.2024 10:00;08.01.2024 11:00;69.722,00;69.823,25;101,25;42.974,25
08.01.2024 11:00;08.01.2024 12:00;69.755,75;70.023,25;267,50;40.149,00
08.01.2024 12:00;08.01.2024 13:00;69.315,75;69.481,25;165,50;38.009,00
08.01.2024 13:00;08.01.2024 14:00;69.045,50;69.483,25;437,75;37.994,75
08.01.2024 14:00;08.01.2024 15:00;68.221,50;68.830,50;609,00;39.916,75
08.01.2024 15:00;08.01.2024 16:00;67.905,25;68.442,75;537,50;43.480,00
08.01.2024 16:00;08.01.2024 17:00;68.308,25;68.528,50;220,25;45.389,00
08.01.2024 17:00;08.01.2024 18:00;70.711,00;70.720,00;9,00;47.280,25
08.01.2024 18:00;08.01.2024 19:00;70.678,25;70.679,75;1,50;47.220,00
08.01.2024 19:00;08.01.2024 20:00;69.326,75;69.469,50;142,75;46.093,00
08.01.2024 20:00;08.01.2024 21:00;65.828,00;65.901,00;73,00;43.524,75
08.01.2024 21:00;08.01.2024 22:00;62.587,25;62.755,50;168,25;41.326,75
08.01.2024 22:00;08.01.2024 23:00;59.977,50;60.246,25;268,75;40.447,25
08.01.2024 23:00;09.01.2024 00:00;56.515,00;58.510,00;1.995,00;38.344,25
09.01.2024 00:00;09.01.2024 01:00;54.800,00;57.382,75;2.582,75;37.744,50
09.01.2024 01:00;09.01.2024 02:00;53.013,75;56.509,75;3.496,00;36.900,50
09.01.2024 02:00;09.01.2024 03:00;52.305,25;56.428,50;4.123,25;36.936,50
09.01.2024 03:00;09.01.2024 04:00;51.986,25;56.006,00;4.019,75;37.443,00
09.01.2024 04:00;09.01.2024 05:00;52.933,25;56.697,00;3.763,75;38.924,50
09.01.2024 05:00;09.01.2024 06:00;56.133,00;58.252,75;2.119,75;42.680,50
09.01.2024 06:00;09.01.2024 07:00;62.377,75;62.661,75;284,00;48.985,50
09.01.2024 07:00;09.01.2024 08:00;68.218,50;68.248,75;30,25;55.245,00
09.01.2024 08:00;09.01.2024 09:00;70.871,50;70.877,50;6,00;57.741,25
09.01.2024 09:00;09.01.2024 10:00;70.857,25;70.860,00;2,75;55.264,75
09.01.2024 10:00;09.01.2024 11:00;70.830,25;70.842,75;12,50;51.408,00
09.01.2024 11:00;09.01.2024 12:00;70.792,00;70.976,50;184,50;47.926,50
09.01.2024 12:00;09.01.2024 13:00;70.341,25;71.047,75;706,50;46.127,25
09.01.2024 13:00;09.01.2024 14:00;68.867,00;69.227,00;360,00;45.809,25
09.01.2024 14:00;09.01.2024 15:00;67.306,50;67.701,75;395,25;48.698,75
09.01.2024 15:00;09.01.2024 16:00;67.221,00;67.245,25;24,25;54.433,25
09.01.2024 16:00;09.01.2024 17:00;68.084,25;68.131,25;47,00;57.145,50
09.01.2024 17:00;09.01.2024 18:00;71.236,25;71.243,75;7,50;58.392,00
09.01.2024 18:00;09.01.2024 19:00;71.059,25;71.111,00;51,75;57.635,75
09.01.2024 19:00;09.01.2024 20:00;69.586,50;69.631,25;44,75;56.307,00
09.01.2024 20:00;09.01.2024 21:00;66.124,75;66.153,50;28,75;53.343,75
09.01.2024 21:00;09.01.2024 22:00;63.224,00;63.313,25;89,25;50.799,25
09.01.2024 22:00;09.01.2024 23:00;60.247,75;60.896,75;649,00;48.392,00
09.01.2024 23:00;10.01.2024 00:00;57.335,75;59.350,25;2.014,50;46.095,00
10.01.2024 00:00;10.01.2024 01:00;55.036,00;57.682,25;2.646,25;44.734,50
10.01.2024 01:00;10.01.2024 02:00;53.368,50;56.532,00;3.163,50;43.758,00
10.01.2024 02:00;10.01.2024 03:00;52.543,00;56.496,25;3.953,25;43.037,75
10.01.2024 03:00;10.01.2024 04:00;52.445,50;56.597,50;4.152,00;43.213,25
10.01.2024 04:00;10.01.2024 05:00;53.119,00;57.076,25;3.957,25;43.903,75
10.01.2024 05:00;10.01.2024 06:00;56.026,25;59.170,25;3.144,00;46.815,00
10.01.2024 06:00;10.01.2024 07:00;62.505,00;63.200,25;695,25;53.085,50
10.01.2024 07:00;10.01.2024 08:00;68.074,50;68.079,25;4,75;58.508,25
10.01.2024 08:00;10.01.2024 09:00;70.666,75;70.670,50;3,75;60.766,25
10.01.2024 09:00;10.01.2024 10:00;71.470,25;71.473,50;3,25;59.207,75
10.01.2024 10:00;10.01.2024 11:00;71.238,50;71.292,25;53,75;55.604,00
10.01.2024 11:00;10.01.2024 12:00;70.909,25;71.062,25;153,00;52.702,75
10.01.2024 12:00;10.01.2024 13:00;70.050,00;70.408,25;358,25;51.291,25
10.01.2024 13:00;10.01.2024 14:00;68.746,50;69.159,00;412,50;51.808,50
10.01.2024 14:00;10.01.2024 15:00;67.476,00;68.014,75;538,75;54.743,25
10.01.2024 15:00;10.01.2024 16:00;67.311,25;67.487,00;175,75;59.911,00
10.01.2024 16:00;10.01.2024 17:00;68.447,75;68.502,75;55,00;63.075,50
10.01.2024 17:00;10.01.2024 18:00;71.087,75;71.177,25;89,50;64.368,75
10.01.2024 18:00;10.01.2024 19:00;70.733,50;70.746,50;13,00;63.509,50
10.01.2024 19:00;10.01.2024 20:00;69.510,75;69.515,50;4,75;63.193,00
10.01.2024 20:00;10.01.2024 21:00;66.369,50;66.385,50;16,00;61.043,25
10.01.2024 21:00;10.01.2024 22:00;63.116,00;63.322,75;206,75;58.570,00
10.01.2024 22:00;10.01.2024 23:00;60.387,50;60.642,00;254,50;56.325,25
10.01.2024 23:00;11.01.2024 00:00;57.235,00;58.269,50;1.034,50;53.371,00
11.01.2024 00:00;11.01.2024 01:00;55.496,75;58.142,25;2.645,50;51.514,00
11.01.2024 01:00;11.01.2024 02:00;54.369,00;58.164,25;3.795,25;49.891,75
11.01.2024 02:00;11.01.2024 03:00;53.263,75;57.037,00;3.773,25;48.213,25
11.01.2024 03:00;11.01.2024 04:00;53.320,75;57.551,00;4.230,25;48.015,00
11.01.2024 04:00;11.01.2024 05:00;54.278,50;58.661,50;4.383,00;48.390,75
11.01.2024 05:00;11.01.2024 06:00;57.389,75;60.720,25;3.330,50;50.537,75
11.01.2024 06:00;11.01.2024 07:00;63.831,50;64.691,25;859,75;56.156,00
11.01.2024 07:00;11.01.2024 08:00;69.391,50;69.627,75;236,25;60.539,25
11.01.2024 08:00;11.01.2024 09:00;71.973,50;72.074,25;100,75;61.803,00
11.01.2024 09:00;11.01.2024 10:00;72.159,25;72.200,25;41,00;58.835,00
11.01.2024 10:00;11.01.2024 11:00;71.926,00;71.952,25;26,25;54.844,25
11.01.2024 11:00;11.01.2024 12:00;71.881,50;72.031,75;150,25;52.242,00
11.01.2024 12:00;11.01.2024 13:00;71.181,50;71.308,25;126,75;51.696,75
11.01.2024 13:00;11.01.2024 14:00;70.395,50;70.663,50;268,00;52.699,75
11.01.2024 14:00;11.01.2024 15:00;68.729,50;68.993,25;263,75;54.673,50
11.01.2024 15:00;11.01.2024 16:00;68.330,50;68.341,75;11,25;58.901,50
11.01.2024 16:00;11.01.2024 17:00;69.340,75;69.360,75;20,00;62.531,00
11.01.2024 17:00;11.01.2024 18:00;71.401,25;71.405,00;3,75;65.145,75
11.01.2024 18:00;11.01.2024 19:00;70.807,75;70.811,50;3,75;65.088,25
11.01.2024 19:00;11.01.2024 20:00;69.581,00;69.587,75;6,75;64.475,25
11.01.2024 20:00;11.01.2024 21:00;66.048,50;66.060,00;11,50;61.592,50
11.01.2024 21:00;11.01.2024 22:00;62.573,25;62.607,25;34,00;58.885,00
11.01.2024 22:00;11.01.2024 23:00;59.745,00;59.844,50;99,50;56.789,00
11.01.2024 23:00;12.01.2024 00:00;56.121,25;56.473,00;351,75;53.193,00
12.01.2024 00:00;12.01.2024 01:00;53.736,50;54.787,75;1.051,25;50.653,25
12.01.2024 01:00;12.01.2024 02:00;52.425,00;55.860,75;3.435,75;49.025,25
12.01.2024 02:00;12.01.2024 03:00;52.004,75;56.300,25;4.295,50;48.122,75
12.01.2024 03:00;12.01.2024 04:00;52.015,00;56.520,25;4.505,25;48.063,75
12.01.2024 04:00;12.01.2024 05:00;53.285,25;57.650,25;4.365,00;48.404,50
12.01.2024 05:00;12.01.2024 06:00;56.643,00;60.182,00;3.539,00;50.507,75
12.01.2024 06:00;12.01.2024 07:00;62.864,50;63.770,00;905,50;56.004,00
12.01.2024 07:00;12.01.2024 08:00;67.932,50;67.993,50;61,00;60.817,25
12.01.2024 08:00;12.01.2024 09:00;70.660,50;70.665,25;4,75;63.017,00
12.01.2024 09:00;12.01.2024 10:00;72.068,50;72.072,00;3,50;62.108,25
12.01.2024 10:00;12.01.2024 11:00;72.629,75;72.630,75;1,00;60.287,25
12.01.2024 11:00;12.01.2024 12:00;72.704,50;72.709,50;5,00;58.605,75
12.01.2024 12:00;12.01.2024 13:00;72.207,25;72.217,50;10,25;56.990,50
12.01.2024 13:00;12.01.2024 14:00;70.746,75;70.804,00;57,25;55.026,50
12.01.2024 14:00;12.01.2024 15:00;69.254,00;69.368,00;114,00;54.075,50
12.01.2024 15:00;12.01.2024 16:00;68.898,75;68.968,75;70,00;55.283,00
12.01.2024 16:00;12.01.2024 17:00;69.515,75;69.585,50;69,75;56.575,00
12.01.2024 17:00;12.01.2024 18:00;70.789,00;70.789,75;0,75;58.042,25
12.01.2024 18:00;12.01.2024 19:00;69.893,25;69.901,25;8,00;57.285,50
12.01.2024 19:00;12.01.2024 20:00;68.176,75;68.444,75;268,00;55.366,00
12.01.2024 20:00;12.01.2024 21:00;64.494,25;64.789,00;294,75;51.473,50
12.01.2024 21:00;12.01.2024 22:00;61.202,75;61.398,50;195,75;47.592,00
12.01.2024 22:00;12.01.2024 23:00;58.308,75;58.516,00;207,25;44.667,25
12.01.2024 23:00;13.01.2024 00:00;55.414,75;55.605,00;190,25;40.877,00
13.01.2024 00:00;13.01.2024 01:00;52.378,50;52.587,25;208,75;38.197,00
13.01.2024 01:00;13.01.2024 02:00;50.325,25;50.527,75;202,50;34.884,50
13.01.2024 02:00;13.01.2024 03:00;49.355,00;49.572,25;217,25;32.956,00
13.01.2024 03:00;13.01.2024 04:00;48.970,75;49.502,25;531,50;31.123,75
13.01.2024 04:00;13.01.2024 05:00;49.063,00;49.857,50;794,50;29.879,25
13.01.2024 05:00;13.01.2024 06:00;49.167,50;50.121,00;953,50;29.453,00
13.01.2024 06:00;13.01.2024 07:00;50.178,50;50.498,25;319,75;30.192,25
13.01.2024 07:00;13.01.2024 08:00;53.811,50;53.965,50;154,00;32.339,50
13.01.2024 08:00;13.01.2024 09:00;57.557,75;57.595,00;37,25;33.709,00
13.01.2024 09:00;13.01.2024 10:00;60.752,25;60.770,00;17,75;34.499,50
13.01.2024 10:00;13.01.2024 11:00;62.952,00;63.005,00;53,00;34.441,50
13.01.2024 11:00;13.01.2024 12:00;64.200,75;64.290,25;89,50;33.664,00
13.01.2024 12:00;13.01.2024 13:00;64.593,75;64.703,25;109,50;32.357,25
13.01.2024 13:00;13.01.2024 14:00;64.119,75;65.004,50;884,75;31.561,50
13.01.2024 14:00;13.01.2024 15:00;63.226,00;63.981,50;755,50;30.271,75
13.01.2024 15:00;13.01.2024 16:00;62.737,75;63.340,00;602,25;30.191,00
13.01.2024 16:00;13.01.2024 17:00;63.238,75;63.568,50;329,75;30.909,25
13.01.2024 17:00;13.01.2024 18:00;65.444,50;65.727,25;282,75;33.086,50
13.01.2024 18:00;13.01.2024 19:00;65.405,25;65.681,25;276,00;32.796,50
13.01.2024 19:00;13.01.2024 20:00;63.272,25;63.500,50;228,25;31.396,50
13.01.2024 20:00;13.01.2024 21:00;59.622,25;59.652,75;30,50;29.196,00
13.01.2024 21:00;13.01.2024 22:00;56.991,25;57.275,50;284,25;26.969,75
13.01.2024 22:00;13.01.2024 23:00;55.490,00;56.007,50;517,50;26.018,25
